year,GFDD.SI.01,GFDD.SI.02,GFDD.SI.04,GFDD.SI.06,GFDD.EI.01,GFDD.EI.05,GFDD.EI.06,GFDD.DI.01,GFDD.DI.05,GFDD.DI.12,FB.AST.NPER.ZS,FD.AST.PRVT.GD.ZS,FM.LBL.BMNY.GD.ZS,NY.GDP.MKTP.KD.ZG,FP.CPI.TOTL.ZG,NY.GDP.PCAP.CD,SP.POP.TOTL,GC.DOD.TOTL.GD.ZS,BX.KLT.DINV.WD.GD.ZS,FS.AST.PRVT.GD.ZS
2020,20.40033,1.5671267,106.0901,34.70438,1.874789,0.7328537,6.081897,134.1007,137.7731,134.1007,1.56712671073387,133.785749444008,137.093713910382,-5.45684658426701,-1.1387021539305,9957.52626697613,33889558,62.0067215079956,1.20275464255821,133.816995520751
2019,21.13619,1.5161209,105.982,33.37082,1.929691,1.165243,9.859034,120.8421,123.0736,120.8421,1.51612089778374,120.678377528772,122.907052812222,4.41318742129586,0.662891865764326,10920.191763972,33440596,52.4213502111087,2.50697705748044,120.706946299114
2018,20.40258,1.468191,104.0366,31.69315,2.033724,1.201691,10.60129,120.2722,125.1048,120.2722,1.46819096481044,120.246183069506,125.07786465746,4.84308697634881,0.884709160571235,10901.8019954421,32910967,51.1859148842757,2.31458721219734,120.276311883907
2017,19.69873,1.5491872,103.3141,16.1971,2.149752,1.227418,11.48143,117.1273,122.5343,117.1273,1.54918722685231,117.127301648807,122.534205616143,5.81272240983328,3.87120115774237,9862.54806612235,32355644,50.0496777392469,2.9358203805856,117.167568374282
2016,18.00918,1.6142683,101.8336,17.07341,1.92698,1.035196,10.53282,121.9349,128.5837,121.9349,1.61426825593084,121.935428885839,128.584186484846,4.44978139761541,2.09056659525742,9476.53409809923,31789685,51.8905275342534,4.47130958598651,121.979820601963
2015,16.5578,1.6068283,98.94976,18.20177,1.89576,0.9642358,10.33007,123.0649,132.813,123.0649,1.60682828804839,123.06518059017,132.812779305956,5.09153242155011,2.10438980238359,9648.6797937523,31232798,53.5744697326154,3.27094402931735,123.10362963114
2014,19.77577,1.6457855,94.17793,20.22866,2.469313,1.365216,12.712,120.5289,137.1028,120.5289,1.64578545979143,120.528683526807,137.102328593906,6.00672194558203,3.14299050879095,11013.3107334403,30696137,52.6758487332831,3.14122940365348,120.578651022847
2013,19.0734,1.8491466,91.38457,23.44336,2.535486,1.480192,14.24722,119.7936,140.0929,119.7936,1.84914657141208,119.79291768953,140.092353976818,4.69372252557893,2.10501231233612,10713.6407638899,30174265,52.9992519246741,3.49431175959971,119.899693910412
2012,19.24909,2.0158431,89.19823,25.28317,2.878008,1.730078,16.94151,114.0538,136.8038,114.0538,2.01584311320696,114.054285705461,136.80386813555,5.47345419253853,1.66357102479206,10600.5744240026,29662831,51.6464316160996,2.82905738174529,114.124529817132
2011,20.73016,2.6813903,86.96878,27.43478,4.936512,2.901116,29.08177,108.355,133.8901,108.355,2.6813903080324,108.354991867137,133.890596574756,5.29391283414003,3.1744709215131,10217.1068585031,29162039,50.0286816425423,5.07446032143377,108.425936705379
2010,15.13594,3.3540267,89.1182,29.08211,2.836121,1.080191,12.92425,107.0374,129.6452,107.0374,3.35402670735158,107.037442448206,129.644648612903,7.42484738326097,1.62285235577035,8899.34505544675,28655776,49.5598230655171,4.26864663854031,107.122752573885
2009,14.5398,3.5999999,86.76668,27.03987,2.587713,0.8047033,9.49856,111.4473,139.1656,111.4473,3.62656549307932,111.447312995454,139.16562087384,-1.51352871598714,0.583308405623702,7191.43287234626,28124778,50.8357455983458,0.056692316075743,111.606889987937
2008,14.55326,4.8000002,89.58011,22.5188,2.290307,0.4391519,5.334678,96.60458,113.4073,96.60458,4.8081809717361,96.6045684844061,119.590240517141,4.83176988913097,5.44078221100769,8371.82156086005,27570059,39.7997028374607,3.28081949125174,96.7482535065206
2007,13.62471,6.5,90.64994,16.2714,1.904846,0.6097155,7.639638,101.4203,117.9045,101.4203,6.49881057815871,101.420335166982,125.202378366958,6.29878592740947,2.02735317779569,7168.93031942508,26998389,40.0881257702829,4.68684578287436,101.580075160148
2006,13.55801,8.5,92.87351,11.96057,1.523101,0.4336394,5.102765,103.4892,118.9873,103.4892,8.49559864909982,103.48916693477,129.338226236628,5.5848470671515,3.60923564224389,6158.40785533236,26417909,40.5883961366256,4.72716484834358,103.663830374316
2005,15.79909,9.3999996,97.36262,15.84541,2.513576,1.086297,12.50022,106.2929,117.1615,106.2929,9.3902395222525,106.292938639901,124.964121884925,5.33213916141486,2.97507092684449,5555.58179951206,25836071,42.0675597614326,2.73438734940078,106.524431907379
